CNTYNAME,year,vulnerable_role,ped_inj_name,driver_sex,count
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,F,6
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,M,8
MILWAUKEE,2017,Bicyclist,Suspected Serious Injury,UNKN,1
MILWAUKEE,2017,Bicyclist,Fatality,M,1
MILWAUKEE,2017,Bicyclist,Fatality,UNKN,1
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,F,22
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,M,28
MILWAUKEE,2017,Pedestrian,Suspected Serious Injury,UNKN,31
MILWAUKEE,2017,Pedestrian,Fatality,F,4
MILWAUKEE,2017,Pedestrian,Fatality,M,12
MILWAUKEE,2017,Pedestrian,Fatality,UNKN,3
MILWAUKEE,2018,Bicyclist,Suspected Serious Injury,F,3
MILWAUKEE,2018,Bicyclist,Suspected Serious Injury,M,7
MILWAUKEE,2018,Bicyclist,Suspected Serious Injury,UNKN,3
MILWAUKEE,2018,Pedestrian,Suspected Serious Injury,F,20
MILWAUKEE,2018,Pedestrian,Suspected Serious Injury,M,48
MILWAUKEE,2018,Pedestrian,Suspected Serious Injury,UNKN,25
MILWAUKEE,2018,Pedestrian,Fatality,F,3
MILWAUKEE,2018,Pedestrian,Fatality,M,10
MILWAUKEE,2018,Pedestrian,Fatality,UNKN,6
MILWAUKEE,2019,Bicyclist,Suspected Serious Injury,F,6
MILWAUKEE,2019,Bicyclist,Suspected Serious Injury,M,10
MILWAUKEE,2019,Bicyclist,Suspected Serious Injury,UNKN,3
MILWAUKEE,2019,Pedestrian,Suspected Serious Injury,F,25
MILWAUKEE,2019,Pedestrian,Suspected Serious Injury,M,45
MILWAUKEE,2019,Pedestrian,Suspected Serious Injury,UNKN,21
MILWAUKEE,2019,Pedestrian,Fatality,F,5
MILWAUKEE,2019,Pedestrian,Fatality,M,10
MILWAUKEE,2019,Pedestrian,Fatality,UNKN,1
MILWAUKEE,2020,Bicyclist,Suspected Serious Injury,F,3
MILWAUKEE,2020,Bicyclist,Suspected Serious Injury,M,7
MILWAUKEE,2020,Bicyclist,Suspected Serious Injury,UNKN,1
MILWAUKEE,2020,Bicyclist,Fatality,F,1
MILWAUKEE,2020,Bicyclist,Fatality,M,2
MILWAUKEE,2020,Pedestrian,Suspected Serious Injury,F,12
MILWAUKEE,2020,Pedestrian,Suspected Serious Injury,M,33
MILWAUKEE,2020,Pedestrian,Suspected Serious Injury,UNKN,30
MILWAUKEE,2020,Pedestrian,Fatality,F,3
MILWAUKEE,2020,Pedestrian,Fatality,M,11
MILWAUKEE,2021,Bicyclist,Suspected Serious Injury,F,7
MILWAUKEE,2021,Bicyclist,Suspected Serious Injury,M,9
MILWAUKEE,2021,Bicyclist,Suspected Serious Injury,UNKN,6
MILWAUKEE,2021,Bicyclist,Fatality,M,2
MILWAUKEE,2021,Pedestrian,Suspected Serious Injury,F,21
MILWAUKEE,2021,Pedestrian,Suspected Serious Injury,M,38
MILWAUKEE,2021,Pedestrian,Suspected Serious Injury,UNKN,34
MILWAUKEE,2021,Pedestrian,Fatality,F,6
MILWAUKEE,2021,Pedestrian,Fatality,M,9
MILWAUKEE,2021,Pedestrian,Fatality,UNKN,6
MILWAUKEE,2022,Bicyclist,Suspected Serious Injury,F,4
MILWAUKEE,2022,Bicyclist,Suspected Serious Injury,M,7
MILWAUKEE,2022,Bicyclist,Suspected Serious Injury,UNKN,5
MILWAUKEE,2022,Bicyclist,Fatality,F,1
MILWAUKEE,2022,Bicyclist,Fatality,M,5
MILWAUKEE,2022,Bicyclist,Fatality,UNKN,1
MILWAUKEE,2022,Pedestrian,Suspected Serious Injury,F,18
MILWAUKEE,2022,Pedestrian,Suspected Serious Injury,M,29
MILWAUKEE,2022,Pedestrian,Suspected Serious Injury,UNKN,21
MILWAUKEE,2022,Pedestrian,Fatality,F,3
MILWAUKEE,2022,Pedestrian,Fatality,M,15
MILWAUKEE,2022,Pedestrian,Fatality,UNKN,10
MILWAUKEE,2023,Bicyclist,Suspected Serious Injury,F,4
MILWAUKEE,2023,Bicyclist,Suspected Serious Injury,M,8
MILWAUKEE,2023,Bicyclist,Suspected Serious Injury,UNKN,2
MILWAUKEE,2023,Bicyclist,Fatality,M,1
MILWAUKEE,2023,Pedestrian,Suspected Serious Injury,F,25
MILWAUKEE,2023,Pedestrian,Suspected Serious Injury,M,28
MILWAUKEE,2023,Pedestrian,Suspected Serious Injury,UNKN,35
MILWAUKEE,2023,Pedestrian,Fatality,F,2
MILWAUKEE,2023,Pedestrian,Fatality,M,14
MILWAUKEE,2023,Pedestrian,Fatality,UNKN,8
MILWAUKEE,2024,Bicyclist,Suspected Serious Injury,F,6
MILWAUKEE,2024,Bicyclist,Suspected Serious Injury,M,5
MILWAUKEE,2024,Bicyclist,Suspected Serious Injury,UNKN,3
MILWAUKEE,2024,Bicyclist,Suspected Serious Injury,NA,1
MILWAUKEE,2024,Pedestrian,Suspected Serious Injury,F,23
MILWAUKEE,2024,Pedestrian,Suspected Serious Injury,M,32
MILWAUKEE,2024,Pedestrian,Suspected Serious Injury,UNKN,25
MILWAUKEE,2024,Pedestrian,Fatality,F,6
MILWAUKEE,2024,Pedestrian,Fatality,M,9
MILWAUKEE,2024,Pedestrian,Fatality,UNKN,4
